Name,MVP,DPOY,NBA championships,FMVP,Scoring title
KAREEM ABDUL-JABBAR,6,0,6,2,2
RAY ALLEN,0,0,2,0,0
GIANNIS ANTETOKOUNMPO,2,1,1,1,0
CARMELO ANTHONY,0,0,0,0,1
NATE ARCHIBALD,0,0,1,0,1
PAUL ARIZIN,0,0,1,0,2
CHARLES BARKLEY,1,0,0,0,0
RICK BARRY,0,0,1,1,1
ELGIN BAYLOR,0,0,0,0,0
DAVE BING,0,0,0,0,1
LARRY BIRD,3,0,3,2,0
KOBE BRYANT,1,0,5,2,2
WILT CHAMBERLAIN,4,0,2,1,7
BOB COUSY,1,0,6,0,0
DAVE COWENS,1,0,2,0,0
BILLY CUNNINGHAM,1,0,1,0,0
STEPHEN CURRY,2,0,3,0,2
ANTHONY DAVIS,0,0,1,0,0
DAVE DEBUSSCHERE,0,0,2,0,0
CLYDE DREXLER,0,0,1,0,0
TIM DUNCAN,2,0,5,3,0
KEVIN DURANT,1,0,2,2,4
JULIUS ERVING,4,0,1,0,0
PATRICK EWING,0,0,0,0,0
WALT FRAZIER,0,0,2,0,0
KEVIN GARNETT,1,1,1,0,0
GEORGE GERVIN,0,0,0,0,4
HAL GREER,0,0,1,0,0
JAMES HARDEN,1,0,0,0,3
JOHN HAVLICEK,0,0,8,1,0
ELVIN HAYES,0,0,1,0,1
ALLEN IVERSON,1,0,0,0,4
LEBRON JAMES,4,0,4,4,1
MAGIC JOHNSON,3,0,5,3,0
SAM JONES,0,0,10,0,0
MICHAEL JORDAN,5,1,6,6,10
JASON KIDD,0,0,1,0,0
KAWHI LEONARD,0,2,2,2,0
DAMIAN LILLARD,0,0,0,0,0
JERRY LUCAS,0,0,1,0,0
KARL MALONE,2,0,0,0,0
MOSES MALONE,3,0,1,1,0
PETE MARAVICH,0,0,0,0,1
BOB MCADOO,1,0,2,0,3
KEVIN MCHALE,0,0,3,0,0
GEORGE MIKAN,0,0,0,0,3
REGGIE MILLER,0,0,0,0,0
EARL MONROE,0,0,1,0,0
STEVE NASH,2,0,0,0,0
DIRK NOWITZKI,1,0,1,1,0
SHAQUILLE O'NEAL,1,0,4,3,2
HAKEEM OLAJUWON,1,2,2,2,0
ROBERT PARISH,0,0,4,0,0
CHRIS PAUL,0,0,0,0,0
GARY PAYTON,0,1,1,0,0
BOB PETTIT,2,0,1,0,2
PAUL PIERCE,0,0,1,1,0
SCOTTIE PIPPEN,0,0,6,0,0
WILLIS REED,1,0,2,2,0
OSCAR ROBERTSON,1,0,1,0,0
DAVID ROBINSON,1,1,2,0,1
DENNIS RODMAN,0,2,5,0,0
BILL RUSSELL,5,0,11,0,0
DOLPH SCHAYES,0,0,1,0,0
BILL SHARMAN,0,0,4,0,0
JOHN STOCKTON,0,0,0,0,0
ISIAH THOMAS,0,0,2,1,0
NATE THURMOND,0,0,0,0,0
WES UNSELD,1,0,1,1,0
DWYANE WADE,0,0,3,1,1
BILL WALTON,1,0,2,1,0
JERRY WEST,0,0,1,1,1
RUSSELL WESTBROOK,1,0,0,0,2
LENNY WILKENS,0,0,0,0,0
DOMINIQUE WILKINS,0,0,0,0,1
JAMES WORTHY,0,0,3,1,0
